generation,rank_1,rank_2,swapAccepted
354000,3,4,1
355000,2,3,1
356000,1,4,1
357000,1,2,0
358000,1,2,1
359000,3,4,0
360000,3,4,1
361000,1,2,1
362000,1,3,1
363000,2,4,1
364000,1,3,1
365000,1,4,1
366000,1,4,1
367000,1,4,1
368000,3,4,1
369000,1,3,1
370000,1,2,1
371000,1,4,0
372000,2,4,1
373000,1,2,1
374000,3,4,1
375000,2,3,1
376000,1,2,1
377000,1,2,1
378000,3,4,1
379000,1,2,1
380000,3,4,1
381000,1,2,0
382000,1,4,1
383000,1,3,1
384000,2,4,1
385000,1,2,1
386000,2,4,1
387000,2,4,0
388000,1,4,1
389000,1,3,1
390000,2,3,0
391000,2,3,1
392000,1,2,1
393000,2,3,1
394000,3,4,1
395000,2,3,1
396000,3,4,1
397000,3,4,1
398000,1,4,1
399000,3,4,1
400000,1,3,1
401000,1,4,1
402000,1,3,1
403000,2,3,1
404000,1,4,1
405000,2,4,1
406000,1,4,1
407000,3,4,1
408000,2,4,1
409000,1,4,0
410000,2,4,1
411000,1,2,0
412000,1,3,1
413000,1,3,0
414000,1,3,1
415000,2,4,1
416000,2,3,1
417000,1,3,1
418000,1,3,1
419000,1,4,1
420000,1,3,1
421000,1,4,0
422000,1,4,1
423000,2,3,1
424000,1,4,1
425000,2,4,1
426000,3,4,1
427000,1,3,1
428000,2,3,1
429000,1,3,1
430000,2,4,1
431000,2,3,0
432000,1,2,0
433000,1,4,1
434000,1,3,1
435000,1,2,1
436000,1,2,1
437000,2,3,1
438000,1,4,1
439000,1,4,1
440000,1,4,1
441000,1,4,0
442000,1,2,1
443000,2,3,1
444000,1,4,1
445000,1,2,1
446000,3,4,1
447000,1,4,1
448000,3,4,1
449000,2,4,0
450000,1,3,0
451000,1,2,1
452000,2,3,1
453000,3,4,0
454000,2,4,1
455000,2,4,1
456000,1,2,1
457000,3,4,1
458000,1,4,0
459000,1,3,1
460000,3,4,1
461000,1,4,1
462000,2,4,1
463000,2,4,1
464000,2,4,1
465000,1,2,1
466000,1,3,1
467000,1,4,1
468000,2,4,1
469000,1,2,1
470000,1,3,1
471000,1,3,1
472000,1,3,1
473000,3,4,1
474000,3,4,1
475000,2,4,0
476000,2,3,1
477000,2,4,1
478000,2,4,1
479000,2,3,1
480000,1,3,1
481000,1,2,1
482000,1,4,1
483000,1,4,1
484000,1,4,1
485000,1,4,1
486000,3,4,1
487000,3,4,1
488000,1,2,1
489000,2,3,1
490000,2,4,1
491000,3,4,1
492000,3,4,1
493000,2,4,1
494000,1,3,1
495000,1,2,1
496000,3,4,1
497000,2,3,1
498000,2,3,1
499000,1,2,1
500000,2,4,1
501000,2,3,1
502000,3,4,1
503000,3,4,1
504000,1,3,1
505000,1,4,1
506000,2,3,1
507000,1,3,1
508000,2,3,1
509000,1,2,1
510000,3,4,1
511000,1,2,1
512000,2,4,0
513000,3,4,1
514000,3,4,1
515000,2,4,1
516000,1,2,1
517000,2,4,1
518000,1,4,1
519000,2,4,1
520000,1,4,1
521000,1,4,1
522000,1,2,1
523000,2,4,1
524000,2,3,1
525000,2,4,1
526000,1,4,0
527000,3,4,1
528000,1,3,0
529000,2,4,1
530000,1,3,1
531000,3,4,1
532000,3,4,1
533000,2,3,0
534000,1,2,1
535000,2,3,1
536000,1,3,1
537000,1,3,1
538000,3,4,1
539000,1,4,0
540000,2,3,1
541000,2,3,1
542000,1,3,1
543000,1,2,0
544000,3,4,1
545000,1,4,1
546000,1,3,1
547000,1,3,1
548000,1,4,1
549000,2,4,1
550000,1,4,1
551000,1,3,1
552000,2,3,1
553000,1,2,1
554000,1,4,1
555000,1,3,1
556000,2,3,1
557000,1,3,1
558000,2,4,1
559000,2,4,1
560000,2,4,1
561000,3,4,1
562000,2,4,1
563000,1,4,1
564000,2,3,0
565000,1,3,1
566000,2,4,0
567000,3,4,1
568000,1,2,1
569000,1,3,1
570000,1,2,1
571000,1,4,1
572000,1,2,1
573000,2,4,1
574000,1,4,1
575000,1,4,1
576000,1,2,1
577000,1,2,1
578000,3,4,1
579000,1,3,1
580000,2,3,1
581000,2,4,1
582000,2,3,1
583000,1,4,1
584000,2,4,1
585000,2,3,1
586000,1,3,1
587000,1,3,1
588000,1,4,1
589000,1,3,1
590000,1,4,1
591000,3,4,1
592000,1,2,1
593000,2,3,1
594000,2,4,1
595000,2,4,1
596000,1,3,0
597000,2,3,1
598000,1,2,1
599000,1,3,1
600000,2,3,0
601000,3,4,1
602000,1,4,1
603000,1,2,1
604000,1,4,0
605000,3,4,1
606000,3,4,1
607000,1,3,1
608000,2,4,1
609000,1,4,1
610000,1,2,1
611000,3,4,1
612000,1,3,1
613000,1,4,1
614000,1,2,1
615000,1,3,1
616000,1,3,1
617000,1,2,1
618000,2,3,1
619000,1,2,1
620000,3,4,1
621000,2,4,1
622000,2,3,1
623000,1,4,0
624000,2,4,1
625000,2,4,1
626000,1,3,1
627000,1,2,1
628000,1,2,1
629000,3,4,1
630000,1,3,1
631000,1,3,1
632000,2,4,1
633000,3,4,1
634000,3,4,1
635000,1,4,1
636000,1,4,1
637000,3,4,1
638000,1,2,1
639000,2,3,1
640000,1,4,1
641000,2,4,1
642000,2,3,1
643000,1,2,1
644000,1,3,1
645000,1,4,0
646000,3,4,1
647000,2,4,0
648000,2,3,1
649000,2,3,1
650000,2,3,1
651000,1,4,1
652000,1,2,1
653000,1,3,0
654000,1,2,1
655000,3,4,1
656000,1,3,1
657000,2,4,1
658000,1,2,0
659000,1,3,1
660000,2,4,1
661000,1,4,1
662000,3,4,1
663000,3,4,1
664000,1,3,1
665000,1,2,1
666000,3,4,1
667000,1,2,0
668000,1,3,1
669000,1,3,1
670000,1,3,0
671000,2,3,1
672000,2,4,1
673000,1,4,1
674000,2,3,1
675000,1,3,1
676000,2,3,1
677000,1,3,1
678000,1,2,1
679000,1,2,1
680000,1,3,1
681000,3,4,1
682000,1,2,1
683000,3,4,1
684000,2,4,1
685000,2,3,1
686000,1,2,0
687000,2,3,1
688000,3,4,1
689000,2,3,1
690000,2,3,1
691000,2,3,1
692000,3,4,1
693000,2,3,1
694000,1,2,1
695000,2,4,0
696000,1,3,1
697000,2,4,0
698000,2,4,1
699000,2,3,1
700000,3,4,1
701000,2,3,1
702000,2,3,0
703000,3,4,1
704000,2,3,1
705000,2,3,1
706000,2,3,1
707000,2,3,1
708000,1,3,1
709000,2,4,1
710000,1,4,0
711000,3,4,1
712000,2,4,1
713000,2,4,1
714000,3,4,1
715000,2,4,1
716000,2,3,1
717000,2,4,1
718000,1,4,1
719000,2,3,1
720000,2,3,1
721000,1,3,1
722000,2,3,1
723000,1,2,1
724000,1,3,1
725000,2,4,1
726000,2,3,1
727000,1,4,0
728000,1,4,0
729000,1,2,0
730000,2,3,1
731000,3,4,1
732000,1,2,1
733000,2,4,1
734000,1,3,1
735000,3,4,1
736000,1,3,1
737000,2,3,1
738000,1,2,1
739000,1,3,1
740000,1,3,1
741000,1,4,0
742000,2,3,1
743000,1,3,1
744000,3,4,0
745000,1,2,1
746000,1,4,1
747000,1,2,1
748000,1,3,1
749000,1,2,1
750000,2,4,1
751000,1,3,1
752000,1,2,1
753000,2,4,1
754000,1,4,1
755000,1,2,1
756000,3,4,1
757000,1,2,1
758000,2,3,1
759000,1,3,0
760000,1,4,1
761000,2,4,1
762000,2,3,1
763000,3,4,1
764000,2,3,1
765000,1,2,0
766000,1,4,1
767000,1,2,0
768000,2,3,1
769000,2,4,1
770000,2,4,1
771000,1,4,0
772000,3,4,1
773000,2,3,1
774000,1,2,1
775000,3,4,0
776000,2,4,1
777000,2,4,1
778000,3,4,1
779000,1,3,1
780000,1,2,1
781000,2,4,0
782000,3,4,1
783000,2,3,1
784000,1,3,1
785000,3,4,1
786000,2,4,1
787000,2,3,1
788000,1,4,1
789000,1,4,1
790000,1,3,1
791000,3,4,0
792000,2,4,1
793000,1,4,0
794000,2,4,1
795000,2,3,1
796000,1,3,1
797000,3,4,1
798000,1,2,1
799000,3,4,1
800000,2,4,1
801000,1,2,1
802000,1,2,1
803000,3,4,1
804000,1,2,1
805000,1,4,1
806000,2,3,1
807000,2,4,1
808000,1,3,0
809000,1,3,0
810000,3,4,1
811000,1,4,1
812000,1,3,1
813000,2,3,0
814000,2,3,1
815000,1,3,1
816000,2,4,1
817000,1,2,1
818000,2,3,1
819000,2,3,1
820000,3,4,1
821000,2,3,1
822000,1,4,1
823000,2,4,1
824000,2,4,1
825000,1,3,1
826000,3,4,1
827000,2,3,1
828000,1,4,1
829000,2,3,0
830000,1,2,1
831000,1,3,1
832000,1,2,1
833000,3,4,1
834000,2,4,1
835000,1,2,1
836000,2,3,1
837000,3,4,1
838000,2,4,1
839000,2,4,0
840000,1,4,1
841000,1,2,1
842000,1,4,1
843000,1,3,1
844000,1,2,1
845000,1,3,1
846000,3,4,1
847000,1,4,1
848000,3,4,1
849000,2,3,1
850000,2,4,1
851000,2,3,1
852000,1,2,1
853000,1,3,1
854000,1,2,1
855000,1,3,1
856000,2,4,1
857000,2,4,1
858000,2,3,1
859000,1,4,1
860000,1,3,1
861000,2,3,1
862000,1,4,1
863000,2,3,1
864000,1,4,1
865000,2,4,1
866000,1,3,1
867000,1,2,1
868000,1,3,1
869000,1,3,1
870000,3,4,1
871000,1,4,0
872000,2,3,1
873000,2,4,1
874000,2,4,1
875000,1,2,1
876000,2,3,1
877000,1,2,1
878000,2,4,1
879000,1,4,1
880000,1,2,1
881000,3,4,1
882000,2,4,0
883000,2,4,1
884000,2,4,1
885000,1,3,1
886000,2,4,1
887000,2,4,1
888000,2,3,1
889000,1,4,0
890000,1,3,1
891000,1,2,1
892000,3,4,1
893000,1,4,1
894000,1,4,0
895000,2,4,1
896000,3,4,1
897000,1,4,1
898000,2,4,1
899000,2,3,0
900000,2,4,1
901000,1,2,1
902000,1,4,1
903000,2,4,1
904000,2,3,1
905000,1,4,1
906000,1,4,1
907000,1,2,1
908000,1,2,1
909000,1,3,0
910000,2,4,1
911000,1,2,1
912000,3,4,1
913000,1,2,1
914000,1,4,1
915000,1,3,1
916000,2,4,1
917000,2,3,1
918000,2,4,1
919000,1,3,1
920000,2,4,0
921000,2,4,1
922000,2,4,1
923000,3,4,1
924000,1,2,0
925000,1,2,1
926000,1,4,0
927000,1,4,1
928000,3,4,0
929000,2,4,1
930000,1,2,1
931000,1,3,1
932000,2,3,1
933000,3,4,1
934000,2,3,1
935000,1,3,0
936000,3,4,1
937000,2,4,1
938000,1,4,1
939000,1,2,1
940000,2,4,1
941000,2,3,1
942000,1,2,1
943000,3,4,1
944000,2,4,1
945000,1,3,0
946000,1,3,1
947000,2,4,0
948000,1,4,0
949000,1,3,1
950000,1,4,1
951000,1,4,1
952000,3,4,1
953000,1,4,0
954000,1,2,1
955000,2,3,1
956000,1,2,1
957000,1,2,1
958000,3,4,1
959000,3,4,1
960000,2,3,1
961000,1,3,1
962000,1,3,1
